age,state,n
19,CT,510
19,ME,189
19,MA,1180
19,NH,239
19,RI,152
19,VT,94
19,DE,121
19,NJ,1111
19,NY,2813
19,PA,2026
19,IL,1700
19,IN,1040
19,MI,1365
19,OH,1756
19,WI,849
19,IA,517
19,KS,468
19,MN,778
19,MO,820
19,NE,318
19,ND,123
19,SD,138
19,VA,1354
19,AL,745
19,AR,445
19,FL,2478
19,GA,1451
19,LA,565
19,MS,477
19,NC,1545
19,SC,855
19,TX,3900
19,KY,599
19,MD,817
19,OK,574
19,TN,908
19,WV,264
19,AZ,1002
19,CO,772
19,ID,237
19,MT,131
19,NV,337
19,NM,263
19,UT,565
19,WY,79
19,CA,5548
19,OR,572
19,WA,998
19,AK,85
19,HI,172
20,CT,501
20,ME,180
20,MA,1291
20,NH,232
20,RI,263
20,VT,146
20,DE,114
20,NJ,1091
20,NY,2923
20,PA,2061
20,IL,1510
20,IN,1044
20,MI,1408
20,OH,1743
20,WI,768
20,IA,535
20,KS,430
20,MN,666
20,MO,919
20,NE,284
20,ND,134
20,SD,135
20,VA,1252
20,AL,659
20,AR,463
20,FL,2254
20,GA,1297
20,LA,544
20,MS,456
20,NC,1551
20,SC,858
20,TX,3562
20,KY,617
20,MD,696
20,OK,616
20,TN,968
20,WV,268
20,AZ,861
20,CO,659
20,ID,182
20,MT,118
20,NV,326
20,NM,229
20,UT,437
20,WY,85
20,CA,5073
20,OR,508
20,WA,936
20,AK,99
20,HI,165
21,CT,512
21,ME,143
21,MA,1084
21,NH,193
21,RI,160
21,VT,99
21,DE,119
21,NJ,1012
21,NY,2618
21,PA,1744
21,IL,1477
21,IN,936
21,MI,1146
21,OH,1494
21,WI,664
21,IA,433
21,KS,393
21,MN,573
21,MO,817
21,NE,223
21,ND,108
21,SD,97
21,VA,1145
21,AL,594
21,AR,386
21,FL,2048
21,GA,1314
21,LA,541
21,MS,420
21,NC,1339
21,SC,652
21,TX,3121
21,KY,606
21,MD,672
21,OK,566
21,TN,808
21,WV,248
21,AZ,822
21,CO,602
21,ID,189
21,MT,101
21,NV,332
21,NM,198
21,UT,453
21,WY,61
21,CA,4906
21,OR,493
21,WA,808
21,AK,90
21,HI,179
22,CT,529
22,ME,147
22,MA,1123
22,NH,168
22,RI,125
22,VT,84
22,DE,107
22,NJ,1002
22,NY,2425
22,PA,1613
22,IL,1390
22,IN,867
22,MI,1040
22,OH,1425
22,WI,552
22,IA,374
22,KS,337
22,MN,545
22,MO,761
22,NE,243
22,ND,80
22,SD,91
22,VA,1004
22,AL,575
22,AR,351
22,FL,2023
22,GA,1207
22,LA,484
22,MS,321
22,NC,1148
22,SC,628
22,TX,3236
22,KY,559
22,MD,712
22,OK,462
22,TN,826
22,WV,218
22,AZ,846
22,CO,577
22,ID,173
22,MT,83
22,NV,306
22,NM,185
22,UT,541
22,WY,43
22,CA,4702
22,OR,468
22,WA,821
22,AK,81
22,HI,191
23,CT,363
23,ME,96
23,MA,910
23,NH,129
23,RI,127
23,VT,50
23,DE,104
23,NJ,981
23,NY,2332
23,PA,1438
23,IL,1428
23,IN,868
23,MI,1007
23,OH,1285
23,WI,554
23,IA,326
23,KS,304
23,MN,536
23,MO,656
23,NE,203
23,ND,89
23,SD,78
23,VA,1019
23,AL,501
23,AR,320
23,FL,1988
23,GA,1161
23,LA,473
23,MS,347
23,NC,1145
23,SC,554
23,TX,3093
23,KY,484
23,MD,645
23,OK,393
23,TN,778
23,WV,186
23,AZ,806
23,CO,577
23,ID,178
23,MT,92
23,NV,304
23,NM,206
23,UT,485
23,WY,50
23,CA,4796
23,OR,417
23,WA,797
23,AK,86
23,HI,182
24,CT,382
24,ME,92
24,MA,918
24,NH,158
24,RI,102
24,VT,40
24,DE,80
24,NJ,990
24,NY,2311
24,PA,1377
24,IL,1396
24,IN,758
24,MI,1017
24,OH,1240
24,WI,555
24,IA,334
24,KS,334
24,MN,486
24,MO,684
24,NE,192
24,ND,75
24,SD,98
24,VA,1010
24,AL,482
24,AR,303
24,FL,2017
24,GA,1215
24,LA,513
24,MS,316
24,NC,1024
24,SC,583
24,TX,3019
24,KY,515
24,MD,711
24,OK,382
24,TN,761
24,WV,207
24,AZ,851
24,CO,607
24,ID,191
24,MT,86
24,NV,317
24,NM,192
24,UT,454
24,WY,55
24,CA,4779
24,OR,468
24,WA,837
24,AK,97
24,HI,180
25,CT,376
25,ME,116
25,MA,922
25,NH,143
25,RI,106
25,VT,48
25,DE,94
25,NJ,1009
25,NY,2443
25,PA,1370
25,IL,1436
25,IN,724
25,MI,1078
25,OH,1291
25,WI,573
25,IA,353
25,KS,289
25,MN,514
25,MO,679
25,NE,197
25,ND,81
25,SD,82
25,VA,947
25,AL,496
25,AR,321
25,FL,2015
25,GA,1177
25,LA,503
25,MS,280
25,NC,1140
25,SC,501
25,TX,3206
25,KY,516
25,MD,675
25,OK,365
25,TN,754
25,WV,176
25,AZ,833
25,CO,701
25,ID,177
25,MT,108
25,NV,319
25,NM,195
25,UT,470
25,WY,62
25,CA,4858
25,OR,449
25,WA,834
25,AK,86
25,HI,152
26,CT,385
26,ME,117
26,MA,867
26,NH,160
26,RI,117
26,VT,49
26,DE,88
26,NJ,990
26,NY,2445
26,PA,1339
26,IL,1492
26,IN,818
26,MI,1044
26,OH,1328
26,WI,551
26,IA,333
26,KS,347
26,MN,535
26,MO,671
26,NE,212
26,ND,101
26,SD,119
26,VA,960
26,AL,557
26,AR,290
26,FL,2031
26,GA,1165
26,LA,500
26,MS,333
26,NC,1203
26,SC,581
26,TX,3320
26,KY,544
26,MD,716
26,OK,420
26,TN,831
26,WV,155
26,AZ,822
26,CO,715
26,ID,166
26,MT,84
26,NV,350
26,NM,203
26,UT,469
26,WY,60
26,CA,4932
26,OR,486
26,WA,888
26,AK,90
26,HI,176
27,CT,418
27,ME,109
27,MA,915
27,NH,148
27,RI,126
27,VT,59
27,DE,90
27,NJ,930
27,NY,2490
27,PA,1415
27,IL,1517
27,IN,788
27,MI,1066
27,OH,1338
27,WI,532
27,IA,394
27,KS,357
27,MN,539
27,MO,732
27,NE,209
27,ND,87
27,SD,115
27,VA,1035
27,AL,475
27,AR,361
27,FL,2132
27,GA,1260
27,LA,510
27,MS,366
27,NC,1112
27,SC,557
27,TX,3382
27,KY,502
27,MD,668
27,OK,484
27,TN,797
27,WV,169
27,AZ,800
27,CO,720
27,ID,192
27,MT,123
27,NV,323
27,NM,198
27,UT,420
27,WY,66
27,CA,5142
27,OR,492
27,WA,931
27,AK,100
27,HI,183
28,CT,405
28,ME,130
28,MA,917
28,NH,153
28,RI,126
28,VT,63
28,DE,110
28,NJ,1044
28,NY,2536
28,PA,1414
28,IL,1610
28,IN,863
28,MI,1129
28,OH,1447
28,WI,652
28,IA,364
28,KS,303
28,MN,572
28,MO,752
28,NE,238
28,ND,98
28,SD,88
28,VA,968
28,AL,552
28,AR,362
28,FL,2146
28,GA,1269
28,LA,521
28,MS,296
28,NC,1193
28,SC,552
28,TX,3310
28,KY,584
28,MD,710
28,OK,468
28,TN,837
28,WV,177
28,AZ,812
28,CO,767
28,ID,210
28,MT,98
28,NV,372
28,NM,222
28,UT,418
28,WY,70
28,CA,5134
28,OR,497
28,WA,1033
28,AK,94
28,HI,156
29,CT,415
29,ME,115
29,MA,881
29,NH,181
29,RI,132
29,VT,65
29,DE,105
29,NJ,1042
29,NY,2619
29,PA,1523
29,IL,1612
29,IN,799
29,MI,1187
29,OH,1368
29,WI,625
29,IA,345
29,KS,354
29,MN,596
29,MO,732
29,NE,217
29,ND,89
29,SD,91
29,VA,1096
29,AL,578
29,AR,342
29,FL,2262
29,GA,1286
29,LA,528
29,MS,307
29,NC,1217
29,SC,610
29,TX,3342
29,KY,527
29,MD,683
29,OK,451
29,TN,812
29,WV,175
29,AZ,873
29,CO,753
29,ID,184
29,MT,94
29,NV,367
29,NM,260
29,UT,420
29,WY,60
29,CA,5357
29,OR,525
29,WA,957
29,AK,106
29,HI,179
30,CT,368
30,ME,142
30,MA,879
30,NH,146
30,RI,132
30,VT,82
30,DE,88
30,NJ,993
30,NY,2540
30,PA,1396
30,IL,1512
30,IN,804
30,MI,1086
30,OH,1367
30,WI,635
30,IA,384
30,KS,336
30,MN,629
30,MO,702
30,NE,206
30,ND,123
30,SD,119
30,VA,953
30,AL,560
30,AR,323
30,FL,2220
30,GA,1276
30,LA,548
30,MS,344
30,NC,1225
30,SC,566
30,TX,3366
30,KY,549
30,MD,675
30,OK,458
30,TN,821
30,WV,173
30,AZ,846
30,CO,712
30,ID,198
